id;name;genre1;genre2;year
1;gKQ;Romance;Romance;1951
2;utmHHIrjLrzWixda;Thriller;Comedy;2004
3;RsXoWAlOv;Romance;Comedy;1904
4;jzQaZVgEfSogjI;Thriller;Drama;1901
5;ekCq;Animation;Animation;2002
6;Rm I;Comedy;Thriller;1941
7;WRtb;Drama;Drama;1911
8;rM;Animation;Animation;2017
9;" Y";Thriller;Comedy;1936
10;BGTwZDMBvMmW;Drama;Romance;1971
11;MLDzKmCAhShVpfBxAfdj;Animation;Romance;1960
12;VlUOCZRKaTYujtdZy;Comedy;Drama;1998
13;USITTcAFPp;Animation;Drama;1958
14;gRRwIEERPyTLVIWlxzdB;Comedy;Thriller;1956
15;eA;Animation;Animation;2003
16;oFoXwxCWOHcXSxjg;Animation;Thriller;1961
17;JygKfJbrKAqXaywJNg;Animation;Drama;2011
18;ahGkNHcitxqqIujBg;Drama;Animation;1955
19;ceWCrGf;Thriller;Animation;1949
20;NKA AAJDoNW;Thriller;Thriller;1933
21;CAsh;Drama;Thriller;1963
22;fBbwrwCRkkCjrhQtf;Romance;Thriller;1921
23;pNmbW;Thriller;Thriller;1995
24;umIiRhxEkBslVjf;Animation;Thriller;2013
25;lWMzggLxXMQc;Drama;Animation;1985
26;SB;Thriller;Animation;1950
27;LLQoICLcLJ;Romance;Romance;1908
28;tDpDXmTBCzHoozwq;Thriller;Romance;1902
29;zW;Thriller;Thriller;1958
30;BkKPtoVYBgyRud;Romance;Romance;1992
31;WxcbRQHYSuqqgSP;Drama;Romance;1996
32;EwIWim;Drama;Thriller;2021
33;vZKwat;Comedy;Romance;2010
34;" gmHPjLkvIxvbzHDifGX";Thriller;Drama;2002
35;tRROBIkRkWVROCBCv;Drama;Romance;1917
36;BKcZRABGssUDFUmXX;Romance;Animation;1965
37;JsgypKwtwCzWNQfMk;Thriller;Animation;1911
38;qsPs yhZPxwHlNn;Romance;Comedy;1901
39;TLwqzIElGUPoLJzi;Comedy;Thriller;1997
40;CX;Thriller;Animation;2006
41;KRmfaWlzBEOP;Drama;Animation;1918
42;uDLF  k rn;Drama;Animation;1990
43;RBAAVwmEs;Thriller;Comedy;1974
44;TavSJZtqWmohTTPZ;Drama;Thriller;1918
45;QCSPYKcFdgEAU;Romance;Romance;2020
46;vlrtfDN;Animation;Comedy;1900
47;QlvmHTwuVQ;Thriller;Romance;1993
48;zkxPiw;Romance;Thriller;1960
49;TMEYEiTQf;Thriller;Comedy;1953
50;rBtfhudgoqfUrBhX;Romance;Drama;1902
51;mpnzUg;Comedy;Animation;1961
52;d fn;Thriller;Romance;1961
53;"gUAbnlDFcuhuZXAGTmw ";Romance;Comedy;1956
54;JDGDUOBdMYP;Comedy;Thriller;1968
55;Eoc;Romance;Comedy;2011
56;RrXz;Drama;Comedy;1976
57;pHnQtqpO;Animation;Thriller;2017
58;NIUHZgyeYrj;Thriller;Drama;1981
59;feLQGhmBkjqRAJngVV;Drama;Thriller;1930
60;GLbK;Romance;Romance;1986
61;" l";Comedy;Animation;1962
62;oOuWjjD;Romance;Romance;2018
63;JzTOTbGwyIuESpTx;Romance;Drama;1907
64;BikJO;Thriller;Thriller;2004
65;CxornBjWYYBGWBpZkz;Thriller;Animation;2018
66;anUTdCtepiqiTxuiA;Thriller;Romance;1969
67;n IuAtT;Drama;Comedy;1907
68;VjNg;Drama;Comedy;1959
69;kn laLTQ;Romance;Animation;2012
70;DYBSm DEzEn;Comedy;Drama;2018
71;eTP rIPoVegGx;Animation;Romance;1923
72;nwTCDwNLyNGaxx;Animation;Romance;2021
73;AcMf;Romance;Romance;1921
74;OKPZkO;Comedy;Romance;1916
75;CDqlahybP;Animation;Romance;1902
76;FNFPEJQhZPPDmticQIU;Drama;Drama;1973
77;kLsg;Thriller;Thriller;1981
78;lblmyOB;Drama;Thriller;1907
79;tfhPotbkoLGPKb;Thriller;Romance;1911
80;wutoedcYRmiGu;Animation;Drama;1907
81;fY cAqTZYWgEOkdE;Thriller;Romance;1995
82;mjXJy;Comedy;Thriller;1901
83;aOOAlZJqwCTDcBJ;Animation;Thriller;1990
84;Jjw;Thriller;Drama;2004
85;KqgCTymetf NQCNQcmxT;Romance;Thriller;1984
86;WgkXikFS;Animation;Animation;1912
87;lXxCNCk h;Thriller;Romance;1978
88;tdTpHmPBMOFogWi;Animation;Drama;1900
89;amXfTZDvB;Comedy;Animation;2008
90;yUki;Romance;Romance;1901
91;JifDPyExnaHwu;Thriller;Thriller;1915
